,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
intercept_contribution,0.09648656185297062,0.038913519094011105,0.03358606948917893,0.15575747867125683,3388.4752203082408,2573.718254544686,1.0004484062064476,0.0006717923379618621,0.00047899421173835526
adstock_alpha[spend_google_search],0.11640618033370648,0.10468671631338741,0.005577433710845563,0.3161901149588386,3914.5550872479553,1948.1214001670721,1.000710967894055,0.0014070501593892587,0.0016530165744987801
adstock_alpha[spend_google_shopping_pmax],0.22800842802882107,0.18077630711411943,0.015315533793775952,0.5754232005662444,4943.872430988708,2203.8888884319645,1.0000175378425415,0.0024146860648218255,0.001888686788592402
adstock_alpha[spend_meta],0.33547409489590047,0.2442578912356951,0.025760658387094064,0.7804515116202165,3552.3190067363457,2471.401361926002,1.0016413708054928,0.0039802157667633235,0.0022230506398085723
adstock_alpha[spend_tiktok],0.304004202717244,0.21487876828910962,0.026273816029970212,0.692026168232237,4087.0639413358467,2204.7712791326962,1.0015516359342,0.002991827295428293,0.0017922613487346317
saturation_lam[spend_google_search],1.5996052366826892,0.787345118445121,0.7157887740768963,2.9948150394782944,3350.244769067435,2731.271205563724,1.0005940809744147,0.014657015008124517,0.023823003031175093
saturation_lam[spend_google_shopping_pmax],3.2226201998837056,2.206560527282388,0.5852579104284322,7.490501711123107,3380.186725256711,2416.4149386067184,1.000590002264516,0.035925169983739194,0.03109520051323728
saturation_lam[spend_meta],1.948753171788625,1.1255668665683904,0.5875235798268872,4.042602539680594,3483.5856268896264,2656.3269027586134,1.0004154782991719,0.017827187037303304,0.019514047484482374
saturation_lam[spend_tiktok],3.6641774098042488,2.3037720838994975,0.8398886344833438,7.85399217425321,3364.60556265044,2285.505702901611,1.0003899770049953,0.03686918272813889,0.03725898552943554
saturation_beta[spend_google_search],0.4097078748007332,0.17001810424330666,0.18577320475699538,0.7083997281209178,2755.613983344747,2166.403379708481,1.000747642705323,0.003131720905310191,0.0032263770983745493
saturation_beta[spend_google_shopping_pmax],0.04651551118533915,0.04897669509899917,0.0026080981164103506,0.1282515665793764,2299.80373184952,2046.3868314303375,1.0011832200893624,0.0010044926000541332,0.0021906070946646444
saturation_beta[spend_meta],0.26549646093581475,0.17597261593122573,0.06511831147106936,0.586728461091255,2125.1412592395195,1955.0013494479633,1.000251605639312,0.0036593869250373164,0.00478679614423225
saturation_beta[spend_tiktok],0.0542554740741725,0.03781104324792387,0.005960664680555524,0.12196826784044819,2232.573206837847,2090.8525086262953,0.9997132459977305,0.0007528823863212992,0.0006199525147754146
gamma_control[trend],0.0018132738097879956,0.00036859672362164254,0.0012122315771070755,0.00237677211068594,2784.553448898352,2337.742440187211,1.0012053618111,6.989825492676708e-06,5.155249918774048e-06
gamma_control[yearly_sin_1],0.03398590356111559,0.0147934412978624,0.01099980487991553,0.05805140852879139,3237.9861369788196,2873.014073999174,0.99954345790498,0.00026150777365828193,0.00018642108608921332
gamma_control[yearly_cos_1],0.023703124191662206,0.013802221117274341,0.001788011724561428,0.04502974866417654,2965.955615692138,2568.058567795516,1.0009323980370093,0.000254040148991581,0.0001818980816005584
gamma_control[yearly_sin_2],0.021196668861142094,0.013162673201398821,0.00011186854023411204,0.042253989317144906,3403.1545430033557,2931.9455171280115,1.0022552378519751,0.00022567622739126013,0.00016284425142911818
gamma_control[yearly_cos_2],0.031111935462437047,0.01216388070381603,0.011457463121532797,0.05046959856109492,5400.242649180661,3170.0780539321545,1.0002199760457646,0.0001657492152322408,0.00011619726159843474
gamma_control[us_federal_holiday_week],0.000697327221924787,0.021549835647692587,-0.03407677845264462,0.034409969244657015,4909.625642668361,3185.5370459436554,1.0026689493633825,0.00030744438802925503,0.00020860637674829076
gamma_control[bfcm_week],0.23669929036138376,0.06086606760015709,0.13789399947671185,0.33244765605438636,5582.247571692314,3057.26165632777,1.0009164622625544,0.0008141992341661634,0.0006133363546271529
y_sigma,0.0774551928416642,0.0060104361780537185,0.06857482047335771,0.08756696699476871,4225.920588731192,2632.5759487900527,0.9998952667854974,9.34675542865861e-05,6.930478325872399e-05
