week_start,split,actual,predicted,us_federal_holiday_week,bfcm_week,residual,residual_pct
2021-10-15,train,96939.85,95496.87359147775,0,0,1442.976408522256,1.4885275854277225
2021-10-22,train,73689.93,100546.52793007367,0,0,-26856.59793007368,-36.44541110308245
2021-10-29,train,99912.97,104362.59157900613,0,0,-4449.621579006125,-4.453497457843687
2021-11-05,train,89927.95999999999,121012.37506499524,1,0,-31084.41506499525,-34.565907049370686
2021-11-12,train,137318.47,140079.68964695386,0,0,-2761.2196469538612,-2.0108144570456266
2021-11-19,train,154565.71,164134.59666608405,1,0,-9568.886666084058,-6.190821150489366
2021-11-26,train,233003.32,273567.4727984901,0,1,-40564.152798490075,-17.409259575567454
2021-12-03,train,181420.34,188883.70867554328,0,0,-7463.368675543286,-4.113854419820449
2021-12-10,train,178902.51,184573.68028484905,0,0,-5671.170284849039,-3.169978042705515
2021-12-17,train,124089.14,197204.34273965997,0,0,-73115.20273965997,-58.9215162097666
2021-12-24,train,111314.64,162876.6005438018,1,0,-51561.96054380179,-46.32091568889931
2021-12-31,train,117356.89,156840.8061286155,1,0,-39483.916128615514,-33.64431021358483
2022-01-07,train,103584.31,123500.0647236757,0,0,-19915.75472367571,-19.22661330048509
2022-01-14,train,111461.04,125839.4251528682,1,0,-14378.385152868213,-12.899920145073304
2022-01-21,train,124229.98,132088.83015624803,0,0,-7858.850156248038,-6.326049602719117
2022-01-28,train,124290.29,105959.18353847167,0,0,18331.106461528325,14.748623131805653
2022-02-04,train,134733.66,104844.87211510449,0,0,29888.787884895515,22.18360867276634
2022-02-11,train,139441.18,117998.29295628137,0,0,21442.887043718627,15.377729192852948
2022-02-18,train,164735.37,125628.89758642539,1,0,39106.47241357461,23.738965356119095
2022-02-25,train,204068.27,129035.5137810935,0,0,75032.75621890649,36.76845803559098
2022-03-04,train,162576.88,158477.75662725134,0,0,4099.123372748669,2.5213445926312947
2022-03-11,train,157249.85,159582.87346309773,0,0,-2333.023463097721,-1.4836411373986818
2022-03-18,train,153552.52000000002,164546.77260483944,0,0,-10994.252604839421,-7.1599297783191185
2022-03-25,train,176495.06,175762.75939481548,0,0,732.300605184515,0.4149128055960971
2022-04-01,train,153371.14,168580.04946114364,0,0,-15208.90946114363,-9.91640895486832
2022-04-08,train,145489.6,174674.24638741018,0,0,-29184.646387410176,-20.059610025328393
2022-04-15,train,125532.45,167226.0911080474,0,0,-41693.641108047406,-33.21343693048882
2022-04-22,train,164800.78,161360.39616158663,0,0,3440.3838384133705,2.087601671796317
2022-04-29,train,136765.42,150055.8655016434,0,0,-13290.445501643379,-9.717694356982472
2022-05-06,train,143856.82,150000.79831710545,0,0,-6143.978317105444,-4.270898186895445
2022-05-13,train,152843.03,151899.10023193102,0,0,943.9297680689779,0.6175811668147235
2022-05-20,train,128033.63,151985.2362890853,0,0,-23951.60628908529,-18.707277368520515
2022-05-27,train,191751.36,151603.94860973107,1,0,40147.41139026891,20.937223803924475
2022-06-03,train,142844.05,136857.26516163975,0,0,5986.7848383602395,4.191133504237832
2022-06-10,train,128488.05,132429.3545952974,0,0,-3941.3045952973916,-3.067448369943657
2022-06-17,train,117942.55,126656.15518250244,1,0,-8713.605182502433,-7.388008129807634
2022-06-24,train,158231.12,117009.64103286699,0,0,41221.47896713301,26.051436005213773
2022-07-01,train,128261.76,100634.06497855933,1,0,27627.695021440668,21.540087257059835
2022-07-08,train,101954.39,98964.99841304717,0,0,2989.391586952828,2.9320871685396073
2022-07-15,train,126677.95,97584.66312029309,0,0,29093.28687970691,22.96633856145202
2022-07-22,train,107979.27,102655.60804202003,0,0,5323.6619579799735,4.930262964344891
2022-07-29,train,161360.76,100394.52075970045,0,0,60966.23924029956,37.78256822804972
2022-08-05,train,111213.68,101428.1371268274,0,0,9785.542873172599,8.79886617651048
2022-08-12,train,162570.02000000002,109008.67163078228,0,0,53561.34836921774,32.94663331481274
2022-08-19,train,121369.77,117149.82072723671,0,0,4219.94927276329,3.476936038325927
2022-08-26,train,146898.55,139240.42787714233,0,0,7658.122122857661,5.213204706824991
2022-09-02,train,106032.13999999998,135555.9751643761,1,0,-29523.835164376127,-27.844232102055216
2022-09-09,train,130726.87,136130.02881933277,0,0,-5403.158819332777,-4.133166210843093
2022-09-16,train,108250.23,145589.9016954392,0,0,-37339.67169543922,-34.493849754812736
2022-09-23,train,152474.19,156467.37353932796,0,0,-3993.1835393279616,-2.6189242515916704
2022-09-30,train,183565.92,171975.0610605895,0,0,11590.858939410507,6.314276059200154
2022-10-07,train,217940.9,184272.1064461862,1,0,33668.7935538138,15.448588839365993
2022-10-14,train,236613.94,196794.80235641327,0,0,39819.13764358673,16.82873698970852
2022-10-21,train,243543.59,201385.49212180616,0,0,42158.09787819383,17.310288428528885
2022-10-28,train,214474.91,214808.3663169222,0,0,-333.4563169222092,-0.1554756763493731
2022-11-04,train,243194.5,228458.08458126136,0,0,14736.415418738645,6.059518376747272
2022-11-11,train,240759.6,224372.18491817283,1,0,16387.415081827174,6.806546896500565
2022-11-18,train,276483.6,245160.59391826447,1,0,31323.00608173551,11.329064755282236
2022-11-25,train,410911.86,370384.45468370663,0,1,40527.405316293356,9.862797660864146
2022-12-02,train,295320.66000000003,261311.77285033467,0,0,34008.88714966536,11.515918713463986
2022-12-09,train,365309.07,262082.66225449383,0,0,103226.40774550618,28.257280265586115
2022-12-16,train,243039.44,251126.33540151746,0,0,-8086.895401517453,-3.3274004422975354
2022-12-23,train,186108.57,219013.76742545146,1,0,-32905.19742545145,-17.680645993600105
2022-12-30,train,177306.77,180357.03886225782,1,0,-3050.268862257828,-1.720334120495133
2023-01-06,train,177520.71,170439.8063834353,0,0,7080.903616564698,3.98877607945839
